stock_code,concept_code,name,source,reason
600138,BK1185,冰雪经济,东方财富,"2024年12月5日回复称,公司旗下古北水镇景区携手金山岭银河滑雪场开展“冰火”奇遇活动,自2024年11月27日至2024年12月31日期间,凡入住景区酒店即送滑雪体验票,旅行社板块推出多乐美地滑雪营、冰雪冠军营等多个冬令营滑雪产品,满足消费者不同需求,具体详情可登录古北水镇旅游官方网站(www.wtown.com)、中青旅遨游网(www.aoyou.com)查询。"
600138,BK0692,旅游概念,东方财富,"公司将遨游网的经营实体与中青旅国际商务公司进行了机构与人员的整合,成立了中青旅电子商务总部,并将遨游网与青旅在线合并成为中青旅遨游网,将尽快完成从中青旅百变自由行网站到度假门户网站的升级。经过近3年的培育,入境在线网站既能为需要全程服务的入境度假旅游者提供在线实时定制个性化包价产品,也能为需要简单服务的入境游客提供在线动态打包自由行产品,实时预订,线上支付的优势明显,成为具有个性化和差异化的特色入境旅游网站。"
600138,BK0683,央国企改革,东方财富,"公司实控人为中华人民共和国国务院,属于中央国家机关。"
600138,BK0671,彩票概念,东方财富,"公司全资子公司风采投资专营云,贵,川三省福利彩票销售业务。"
600138,BK0665,电商概念,东方财富,"司投资8400万构建“青旅在线”网站为其电子商务平台,已经在短期内迅速发展成为借助互联网实现旅游与高科技融合的典范,是国内最有影响力的旅游电子商务网站之一,运营模式与在美国上市的携程网相似。"
